year,region_id,region_name,ons_code,road_category_id,road_category_name,road_category_description,total_link_length_km,total_link_length_miles,all_motor_vehicles
2008,6,London,E12000007,5,M,"Minor road",13015.6,8087.52,8127400000
2007,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1328300000
2007,6,London,E12000007,4,PA,"Class A Principal road",1720.1,1068.82,11101600000
2007,6,London,E12000007,5,M,"Minor road",13003.33,8079.89,8211400000
2006,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1357200000
2006,6,London,E12000007,4,PA,"Class A Principal road",1719.7,1068.57,11366600000
2006,6,London,E12000007,5,M,"Minor road",12965.8,8056.57,7957900000
2005,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1262600000
2005,6,London,E12000007,4,PA,"Class A Principal road",1718.96,1068.11,11172800000
2005,6,London,E12000007,5,M,"Minor road",12962.2,8054.34,7987300000
2004,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1292500000
2004,6,London,E12000007,4,PA,"Class A Principal road",1719.61,1068.52,11159800000
2004,6,London,E12000007,5,M,"Minor road",12901.4,8016.56,7911300000
2003,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1314600000
2003,6,London,E12000007,4,PA,"Class A Principal road",1719.11,1068.21,11223600000
2003,6,London,E12000007,5,M,"Minor road",12933.71,8036.63,7909900000
2002,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1374600000
2002,6,London,E12000007,4,PA,"Class A Principal road",1723.02,1070.63,11239600000
2002,6,London,E12000007,5,M,"Minor road",12895.7,8013.02,7801300000
2001,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1339900000
2001,6,London,E12000007,4,PA,"Class A Principal road",1720.8,1069.26,11466000000
2001,6,London,E12000007,5,M,"Minor road",12859.4,7990.46,7523900000
2000,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",65.6,40.76,1475800000
2000,6,London,E12000007,3,TA,"Class A Trunk road",319.2,198.34,4150300000
2000,6,London,E12000007,4,PA,"Class A Principal road",1396,867.43,7234100000
2000,6,London,E12000007,5,M,"Minor road",12823,7967.84,7428200000
1999,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",71.3,44.3,1556600000
1999,6,London,E12000007,3,TA,"Class A Trunk road",319.7,198.65,4055900000
1999,6,London,E12000007,4,PA,"Class A Principal road",1390.7,864.14,7287200000
1999,6,London,E12000007,5,M,"Minor road",12787.1,7945.54,7415400000
1998,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",70.71,43.94,1557100000
1998,6,London,E12000007,3,TA,"Class A Trunk road",322.23,200.22,3900900000
1998,6,London,E12000007,4,PA,"Class A Principal road",1378.61,856.63,7133600000
1998,6,London,E12000007,5,M,"Minor road",12751.1,7923.17,7228100000
1997,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",69.81,43.38,1525800000
1997,6,London,E12000007,3,TA,"Class A Trunk road",325.64,202.34,3889100000
1997,6,London,E12000007,4,PA,"Class A Principal road",1377.34,855.84,7170300000
1997,6,London,E12000007,5,M,"Minor road",12715.4,7900.98,7109100000
1996,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",68.12,42.33,1453700000
1996,6,London,E12000007,3,TA,"Class A Trunk road",327.93,203.77,3895700000
1996,6,London,E12000007,4,PA,"Class A Principal road",1372.2,852.65,7161700000
1996,6,London,E12000007,5,M,"Minor road",12679.6,7878.74,7037700000
1995,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",66.96,41.61,1377000000
1995,6,London,E12000007,3,TA,"Class A Trunk road",332.21,206.43,3881000000
1995,6,London,E12000007,4,PA,"Class A Principal road",1374.71,854.21,7146800000
1995,6,London,E12000007,5,M,"Minor road",12644,7856.62,6957600000
1994,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",66.39,41.25,1311700000
1994,6,London,E12000007,3,TA,"Class A Trunk road",335.84,208.68,3942900000
1994,6,London,E12000007,4,PA,"Class A Principal road",1373.23,853.29,7155100000
1994,6,London,E12000007,5,M,"Minor road",12609,7834.87,6938900000
1993,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",65.74,40.85,1245300000
1993,6,London,E12000007,3,TA,"Class A Trunk road",339.48,210.94,3913300000
1993,6,London,E12000007,4,PA,"Class A Principal road",1371.72,852.35,7035500000
1993,6,London,E12000007,5,M,"Minor road",12573.5,7812.81,6889500000
