h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,number_plugs,charger_rating,highway,voltage,has_charging_station,distance_to_center
88be08c329fffff,-34.090567112903784,151.05156417347405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,29.287402113135492
88be08c32dfffff,-34.08330365066246,151.05818998855293,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9873.189930362529,0.0,0.0,0.0,nothing,0.0,0.0,0,28.281313027498612
88be08c331fffff,-34.087191202221874,151.0188677227297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,30.665285283358482
88be08c333fffff,-34.0860640070039,151.00796980309124,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,6934.576364404011,0.0,0.0,0.0,nothing,22.0,0.0,0,31.176976429005826
88be08c335fffff,-34.07992964118437,151.02549581672275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,29.65390382780564
88be08c337fffff,-34.07880308008942,151.0145986556271,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3821.950354283032,0.0,0.0,0.0,nothing,18.0,0.0,0,30.165699403510953
88be08c33bfffff,-34.09445235485725,151.0122385396118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,31.676664614373106
88be08c33dfffff,-34.08831745172102,151.0297660915136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,30.178959965303896
88be08c343fffff,-34.12186782770676,151.04685596900535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,32.509312324344876
88be08c345fffff,-34.11572814942648,151.06438751034628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,31.151332507220808
88be08c359fffff,-34.13639279381891,151.03359538981337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,34.51205227847503
88be08c35bfffff,-34.135266524596055,151.02269066834262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,34.908846189385834
88be08c35dfffff,-34.129130515620346,151.04022622467343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,33.51038251317247
88be08c363fffff,-34.09895421245974,151.05583774090113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,29.887466892080777
88be08c36bfffff,-34.10734122480131,151.06011218645085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,30.509209403988418
88be08c405fffff,-34.124743182730576,150.769602222124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,nothing,0.0,330000.0,1,50.337536596480646
88be08c409fffff,-34.14038516420209,150.7671959088528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,nothing,0.0,330000.0,1,51.5259369594624
