h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,study_work_amenity,latitude,longitude,distance_to_center,number_stations,number_plugs,charger_rating,charger_rating_float,has_charging_station
88be081911fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.96059033918703,150.64561675136125,53.11267947602449,0.0,0.0,nothing,0.0,0
88be081915fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6734.693877551021,0.0,0.0,0.0,0.0,-33.95335036229722,150.6522636080235,52.36189104683536,0.0,0.0,nothing,0.0,0
88be081917fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.9521922240956,150.64139360112745,53.32912194727774,0.0,0.0,nothing,0.0,0
88be081919fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.968988382942364,150.64984077216343,52.91463149477904,0.0,0.0,nothing,0.0,0
88be08191dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.96174817987571,150.65648797054993,52.15124422714167,0.0,0.0,nothing,0.0,0
88be081935fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.93047173620473,150.66132990614653,51.143047119205946,0.0,0.0,nothing,0.0,0
88be081939fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.94610997285231,150.658909384518,51.61998425802075,0.0,0.0,nothing,0.0,0
88be08193dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.93886917136697,150.66555408092933,50.88734800458314,0.0,0.0,nothing,0.0,0
88be081941fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.973612930379716,150.69333333466213,49.10740936589757,0.0,0.0,nothing,0.0,0
88be081947fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3848.396501457726,0.0,0.0,0.0,0.0,-33.9652160800344,150.68910446530418,49.27923415680749,0.0,0.0,nothing,0.0,0
88be081949fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.98200970769397,150.69756307541329,48.95582404213604,0.0,0.0,nothing,0.0,0
88be081985fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.94031311675655,150.6045677871135,56.49006744084788,0.0,0.0,nothing,0.0,0
88be081989fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.95594961118622,150.6021366232996,56.97612039147147,0.0,0.0,nothing,0.0,0
88be08198bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.9547870887395,150.59126778221383,57.945958403466946,0.0,0.0,nothing,0.0,0
88be081999fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3848.396501457726,0.0,0.0,0.0,0.0,-33.960859354855536,150.57374706246108,59.654303774377155,0.0,0.0,nothing,0.0,0
88be08199bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.9596943203587,150.56287844319323,60.62358040890735,0.0,0.0,nothing,0.0,0
88be0819adfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.925837491606195,150.617863475608,55.06993208163448,0.0,0.0,nothing,0.0,0
88be0819c1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0991253644316,0.0,0.0,0.0,0.0,-33.9655101326526,150.61722632376714,55.7925149448355,0.0,0.0,nothing,0.0,0
88be0819c3fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0991253644316,0.0,0.0,0.0,0.0,-33.96434884257934,150.60635579230714,56.75550611011492,0.0,0.0,nothing,0.0,0
88be0819c5fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.95827184789018,150.62387573608896,55.04104800855662,0.0,0.0,nothing,0.0,0
88be0819c7fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.95711119762756,150.6130059415083,56.00779007307814,0.0,0.0,nothing,0.0,0
88be0819d7fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.9620234535072,150.58461616090318,58.68648226172911,0.0,0.0,nothing,0.0,0
88be0819e1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.942634666776705,150.62630300100693,54.53782943718115,0.0,0.0,nothing,0.0,0
88be0819e5fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-33.93539578190662,150.63294991147225,53.81628140262437,0.0,0.0,nothing,0.0,0
88be0819e9fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.95103314955735,150.63052406855152,54.29800448317039,0.0,0.0,nothing,0.0,0
88be081a05fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.057893625692856,150.6637080201493,54.61416694140934,0.0,0.0,nothing,0.0,0
88be081a0bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.07237388884957,150.65039841464596,56.37186107030248,0.0,0.0,nothing,0.0,0
88be081a1dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-34.07121459679384,150.63951304649095,57.24479873753226,0.0,0.0,nothing,0.0,0
88be081a21fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.04225496499825,150.66613088803845,53.76686528559731,0.0,0.0,nothing,0.0,0
88be081a23fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35902.53641446551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.041097295465164,150.6552489561612,54.662586141943216,0.0,0.0,nothing,0.0,0
88be081a27fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,152406.1249119388,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.03385698588082,150.66190145027414,53.81039427168389,0.0,0.0,nothing,0.0,0
88be081a29fffff,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68317.20487539413,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,-34.05065286836987,150.6703611983051,53.7422887654329,0.0,0.0,nothing,0.0,0
88be081a2bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-34.049495498552915,150.65947805186758,54.629044574674815,0.0,0.0,nothing,0.0,0
88be081a45fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4208.6936344127935,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-34.075846119000936,150.6830573663583,53.78243907833415,0.0,0.0,nothing,0.0,0
88be081a4dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8951.457783644124,0.0,5.0,3.0,0.0,0.0,12.0,0.0,0.0,-34.08424371438015,150.68729116887374,53.833737081293506,0.0,0.0,nothing,0.0,0
88be081a61fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,58541.36716786333,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-34.060206824613736,150.68547721563397,52.864049084021815,0.0,0.0,nothing,0.0,0
88be081a63fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12467.259645032578,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.05905069549482,150.67459238129797,53.736691261471805,0.0,0.0,nothing,0.0,0
88be081a65fffff,1.0,0.0,18.0,5.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,1424459.4733736855,173060.30927835053,22.0,3.0,0.0,0.0,20.0,2.0,0.0,-34.05296478686539,150.69212891059863,51.98257926287447,1.0,2.0,22 kW,22.0,1
88be081a67fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012.170729533895,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.05180929786478,150.68124481813365,52.86005655003258,0.0,0.0,nothing,0.0,0
