h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194e6d6bfffff,51.49881354088941,0.08406137555273097,0.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,12.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,23009.947543330436,5787.333333333333,0.0,43.0,0.0,0.0,0,14.255716385205586
88194e6d6dfffff,51.508675647402875,0.06767401612399315,14.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,84.0,39.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0,52524.213783759595,9900.357142857143,0.0,40.0,2.0,0.0,0,13.29660159643108
88194e6d81fffff,51.428990672680676,0.12201531208795824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,606.5253534203732,0.0,0.0,1.0,0.0,0.0,0,17.938576577453826
88194e6d83fffff,51.42123058577243,0.1262259246331226,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79215.16291258947,0.0,0.0,2.0,0.0,0.0,0,18.52779326780671
88194e6d85fffff,51.43109801097143,0.10987405935567963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,33305.28438118582,3159.090909090909,0.0,1.0,0.0,0.0,0,17.065611197276272
88194e6d87fffff,51.42333805528816,0.11408691826976998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,33422.920861197796,15716.833333333334,0.0,3.0,0.0,0.0,0,17.658498625703235
88194e6d89fffff,51.43464208464468,0.12994472682670685,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7869.916248136444,10357.52,3.0,0.0,0.0,132000.0,1,18.25267744080802
88194e6d8bfffff,51.426882263685876,0.1341543895105601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,22587.916666666668,0.0,4.0,0.0,0.0,0,18.811778621143972
88194e6d8dfffff,51.43675036252561,0.1178034027177024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7906.423610709347,7661.5,0.0,0.0,0.0,0.0,0,17.377250477927447
88194e6d91fffff,51.41136143197124,0.14256982698663037,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5060.768705790007,0.0,0.0,3.0,0.0,0.0,0,20.00792714859379
