h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88195da551fffff,0.0,1.0,5.0,3.0,0.0,0.0,0.0,38.0,0.0,5.0,0.0,1859319.9226328656,1805854.5,0.0,9.0,17.0,0.0,4.0,13.0,4.0,0.0,0,nothing,1.0,51.597652729307214,-0.2463282679117118,16991.440315734686
88195da553fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,386580.0860723118,8972912.378472222,0.0,3.0,5.0,0.0,7.0,4.0,4.0,0.0,0,nothing,0.0,51.58990218055104,-0.2420416249119095,16991.61336242399
88195da555fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251062.84089592457,3701920.627083333,0.0,2.0,8.0,0.0,1.0,32.0,3.0,0.0,0,nothing,0.0,51.59973093014513,-0.2585576454008149,16992.058939674862
88195da557fffff,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,5100383.844861595,6334509.798421718,0.0,17.0,12.0,2705.539358600583,1.0,2.0,7.0,0.0,0,nothing,0.0,51.591980528926264,-0.2542687370630427,16992.232174062996
88195da559fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1062486.0615799637,4668776.145833334,0.0,21.0,8.0,0.0,1.0,0.0,3.0,0.0,0,nothing,2.0,51.60332372108391,-0.2383867574596403,16990.648528097077
88195da55bfffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,924414.9882872832,11841751.40376984,0.0,12.0,9.0,0.0,1.0,8.0,6.0,0.0,0,nothing,1.0,51.59557343619591,-0.2341010579806937,16990.821626264024
88195da55dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,887854.4108345371,1747474.2000000002,0.0,2.0,9.0,0.0,0.0,0.0,5.0,0.0,0,nothing,0.0,51.605402866769616,-0.2506162330623002,16991.267029921335
88195da561fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1099683.7295771046,610022.625,0.0,5.0,1.0,0.0,0.0,44.0,2.0,0.0,0,nothing,0.0,51.613708516326774,-0.2995558091139605,16993.740379744264
88195da563fffff,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,772806.5954300883,361178.1818181818,0.0,13.0,9.0,0.0,0.0,9.0,2.0,0.0,0,nothing,0.0,51.605958973085976,-0.2952587778302284,16993.914417114
88195da565fffff,0.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,2949407.0,0.0,10.0,13.0,0.0,2.0,0.0,7.0,0.0,0,nothing,0.0,51.615782192453025,-0.3117961188362658,16994.358552231737
88195da567fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131071.57201569006,1258.0,0.0,14.0,15.0,0.0,0.0,0.0,3.0,0.0,0,nothing,0.0,51.60803279889797,-0.3074968201603135,16994.53277773336
88195da569fffff,0.0,0.0,1.0,1.0,41.0,0.0,0.0,10.0,0.0,1.0,0.0,125661.79825832484,5684935.818181818,0.0,28.0,13.0,0.0,3.0,1.0,2.0,0.0,0,nothing,0.0,51.61938302487588,-0.291613754120442,16992.94805263112
88195da56bfffff,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4732.674759453871,3730896.780663781,0.0,1.0,8.0,0.0,0.0,6.0,6.0,0.0,0,nothing,0.0,51.61163374510202,-0.2873176651342639,16993.12214114946
88195da56dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1752922.126805232,4343565.0625,0.0,12.0,7.0,0.0,3.0,4.0,2.0,0.0,0,nothing,0.0,51.62145764652663,-0.303854165828235,16993.56610314677
88195da581fffff,0.0,0.0,14.0,4.0,0.0,0.0,0.0,59.0,0.0,3.0,0.0,105413.24470027877,2761878.0996031747,0.0,85.0,9.0,0.0,1.0,14.0,14.0,2.0,0,nothing,1.0,51.54187170194402,-0.2487124104118071,16994.678165644673
88195da583fffff,0.0,1.0,57.0,7.0,0.0,1.0,2.0,220.0,0.0,12.0,0.0,420555.72383046336,4111831.983333333,1.0,85.0,22.0,448.9795918367347,5.0,41.0,28.0,3.0,1,Public use,1.0,51.53411831253938,-0.2444295435775365,16994.849858988062
88195da585fffff,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,0.0,6595161.61038961,0.0,53.0,13.0,5387.755102040816,0.0,14.0,6.0,0.0,0,nothing,0.0,51.54394780402091,-0.2609301753620008,16995.298094942133
