h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,highway,voltage,сharger_number,has_charging_station,distance_to_center
8811aa7845fffff,55.699007646789504,37.567651083265886,2.0,4.0,6.0,11.0,5.0,0.0,14.0,3.0,11.0,1.0,1.0,16.0,11.0,17.0,2.0,0.0,30.0,267129.4053771052,23432.645305200276,41.0,0.0,0.0,0,6.644575550138872
8811aa7847fffff,55.703866858413384,37.579031257537494,5.0,5.0,2.0,18.0,15.0,3.0,5.0,8.0,32.0,5.0,0.0,17.0,25.0,24.0,3.0,0.0,32.0,173528.75956896762,23432.645305200276,51.0,110000.0,0.0,0,5.8512420345895135
8811aa7849fffff,55.71078226840572,37.55442241128684,6.0,0.0,1.0,10.0,1.0,4.0,9.0,9.0,48.0,11.0,0.0,5.0,4.0,3.0,0.0,0.0,2.0,235233.17141128925,23432.645305200276,9.0,0.0,0.0,0,6.003040210668588
8811aa784bfffff,55.7156428400385,37.56580302792401,2.0,3.0,0.0,3.0,0.0,0.0,5.0,3.0,11.0,0.0,1.0,12.0,2.0,3.0,0.0,0.0,2.0,1564499.0990437912,23432.645305200276,26.0,0.0,0.0,0,5.133457761454394
8811aa784dfffff,55.70246515121951,37.555348721885764,6.0,1.0,1.0,0.0,2.0,3.0,12.0,4.0,22.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,48598.50865572355,23432.645305200276,17.0,0.0,0.0,0,6.707698017100408
8811aa7851fffff,55.7253620129953,37.58857554183599,16.0,1.0,4.0,18.0,7.0,0.0,17.0,14.0,93.0,4.0,1.0,9.0,30.0,14.0,0.0,2.0,12.0,117481.08713286417,23432.645305200276,26.0,0.0,0.0,0,3.436564865925256
8811aa7853fffff,55.73022061261013,37.59996744103871,21.0,1.0,0.0,40.0,0.0,1.0,54.0,5.0,157.0,7.0,0.0,7.0,30.0,8.0,1.0,10.0,8.0,316930.3594934434,23432.645305200276,10.0,0.0,0.0,0,2.6367527895853073
8811aa7855fffff,55.717043840788016,37.58949554790061,3.0,2.0,3.0,10.0,1.0,2.0,4.0,3.0,63.0,8.0,0.0,5.0,14.0,5.0,0.0,0.0,6.0,9691.103208782848,23432.645305200276,15.0,110000.0,0.0,0,4.243818308493463
8811aa7857fffff,55.72190208944119,37.600885342568056,9.0,1.0,5.0,17.0,14.0,1.0,5.0,13.0,82.0,5.0,0.0,3.0,26.0,9.0,2.0,0.0,14.0,48541.88263248498,23432.645305200276,17.0,0.0,0.0,0,3.497623236351007
8811aa7859fffff,55.72882032073628,37.57626493005841,11.0,9.0,5.0,50.0,20.0,1.0,13.0,24.0,44.0,6.0,2.0,6.0,28.0,14.0,2.0,0.0,28.0,185240.43992119527,23432.645305200276,63.0,110000.0,0.0,0,3.588846232950384
8811aa785bfffff,55.73367992968633,37.58765517123205,21.0,14.0,3.0,65.0,26.0,2.0,11.0,44.0,109.0,16.0,1.0,14.0,53.0,40.0,4.0,0.0,80.0,255225.2952246912,23432.645305200276,53.0,110000.0,0.0,0,2.707792538919161
8811aa785dfffff,55.72050275518649,37.577187404452324,8.0,3.0,9.0,11.0,18.0,0.0,4.0,16.0,57.0,3.0,0.0,13.0,35.0,24.0,3.0,0.0,14.0,107117.40958691032,23432.645305200276,75.0,0.0,0.0,0,4.27513176139515
8811aa7861fffff,55.68722994304472,37.58087365112811,4.0,3.0,7.0,26.0,28.0,0.0,5.0,19.0,31.0,4.0,4.0,15.0,20.0,18.0,2.0,0.0,32.0,231562.152846319,23432.645305200276,70.0,220000.0,0.0,0,7.555583605573941
8811aa7863fffff,55.69208779452226,37.59225338101829,3.0,5.0,2.0,6.0,2.0,1.0,3.0,8.0,39.0,1.0,4.0,10.0,9.0,11.0,0.0,0.0,12.0,122014.87186346999,23432.645305200276,26.0,220000.0,0.0,0,6.851611386468914
8811aa7865fffff,55.67891110425074,37.58179430115318,2.0,1.0,4.0,11.0,8.0,1.0,4.0,12.0,17.0,1.0,1.0,18.0,6.0,14.0,1.0,0.0,16.0,166969.86916249082,23432.645305200276,31.0,0.0,0.0,0,8.431825869469309
8811aa7867fffff,55.68376860370385,37.59317193108452,7.0,6.0,7.0,13.0,9.0,0.0,6.0,9.0,70.0,5.0,1.0,23.0,8.0,11.0,1.0,0.0,8.0,283626.0170561048,23432.645305200276,40.0,220000.0,0.0,0,7.74821103241364
8811aa7869fffff,55.690689668283795,37.56857456237008,8.0,6.0,7.0,33.0,16.0,3.0,26.0,26.0,52.0,16.0,0.0,21.0,25.0,31.0,2.0,0.0,28.0,46990.57825838602,23432.645305200276,40.0,110000.0,0.0,0,7.458736316288065
8811aa786bfffff,55.69554852788078,37.57995263666154,2.0,10.0,9.0,9.0,1.0,0.0,1.0,3.0,5.0,1.0,0.0,7.0,2.0,8.0,2.0,0.0,4.0,336081.46990896214,23432.645305200276,22.0,110000.0,0.0,0,6.693330579146829
8811aa786dfffff,55.68237143565119,37.5694976760519,6.0,5.0,7.0,40.0,33.0,0.0,1.0,31.0,37.0,2.0,2.0,13.0,54.0,33.0,4.0,0.0,38.0,257835.55011080205,23432.645305200276,47.0,0.0,0.0,0,8.296839707152376
8811aa7881fffff,55.73924862948012,37.68252445510757,6.0,3.0,17.0,6.0,6.0,0.0,0.0,11.0,50.0,0.0,0.0,19.0,8.0,13.0,3.0,0.0,4.0,187130.12121617884,23432.645305200276,61.0,110000.0,0.0,0,4.443453949448503
8811aa7883fffff,55.74410088788992,37.6939401358393,0.0,1.0,2.0,4.0,0.0,1.0,8.0,2.0,5.0,1.0,1.0,8.0,4.0,0.0,0.0,0.0,2.0,276858.784820823,23432.645305200276,8.0,110000.0,0.0,0,5.001554438925824
8811aa7885fffff,55.73092689085265,37.683426508653874,0.0,6.0,14.0,10.0,2.0,1.0,3.0,11.0,14.0,0.0,1.0,9.0,10.0,15.0,3.0,0.0,10.0,75244.6085091732,23432.645305200276,32.0,0.0,0.0,0,4.87421882459803
8811aa7887fffff,55.73577880062859,37.69484007505105,3.0,6.0,8.0,7.0,3.0,0.0,6.0,6.0,44.0,0.0,2.0,17.0,5.0,8.0,1.0,0.0,2.0,402442.455760154,23432.645305200276,31.0,110000.0,0.0,0,5.301847510410987
8811aa7889fffff,55.74271684101677,37.67020801446266,7.0,4.0,6.0,35.0,18.0,5.0,4.0,25.0,76.0,5.0,1.0,27.0,34.0,36.0,3.0,0.0,24.0,102280.57795160903,23432.645305200276,101.0,0.0,0.0,0,3.588185374023516
8811aa788bfffff,55.74757011221149,37.68162204382874,8.0,12.0,3.0,40.0,25.0,3.0,8.0,19.0,40.0,3.0,2.0,34.0,33.0,32.0,0.0,0.0,18.0,214352.231052654,23432.645305200276,55.0,110000.0,0.0,0,4.177785169950262
8811aa788dfffff,55.73439570710022,37.671112539334246,3.0,11.0,7.0,21.0,19.0,6.0,12.0,24.0,97.0,1.0,3.0,24.0,29.0,25.0,0.0,0.0,12.0,175059.66367244048,23432.645305200276,48.0,0.0,0.0,0,4.0106281623269
8811aa7891fffff,55.75727466075821,37.70446140294078,13.0,3.0,4.0,23.0,3.0,2.0,18.0,9.0,44.0,2.0,1.0,18.0,19.0,28.0,2.0,0.0,2.0,41224.686205455466,23432.645305200276,37.0,0.0,0.0,0,5.607903821699749
8811aa7893fffff,55.762125936394916,37.71588673460086,2.0,10.0,16.0,7.0,5.0,1.0,3.0,12.0,46.0,0.0,1.0,14.0,16.0,11.0,2.0,0.0,16.0,184845.84661335,23432.645305200276,44.0,0.0,0.0,0,6.392594064623449
8811aa7895fffff,55.748952481472465,37.70535958248614,16.0,16.0,8.0,47.0,26.0,1.0,8.0,20.0,54.0,1.0,0.0,12.0,54.0,40.0,2.0,0.0,30.0,108439.26415786639,23432.645305200276,19.0,110000.0,0.0,0,5.64794881674684
