h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ad633fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29086.678104110248,103560.0,0.0,0.0,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,0.0,0,nothing,0.0,51.34782457098461,0.14402565160871397,16981.50419865271
88194ad635fffff,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283280.9395629462,3781420.4166666665,0.0,2.0,3.0,0.0,0.0,0.0,306,0.0,0.0,2.0,0.0,0,nothing,0.0,51.357694852483554,0.1277003359592371,16981.966141484965
88194ad637fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1628566.3299896177,737055.6666666666,2.0,0.0,0.0,1.0,0.0,2332.3615160349855,310,0.0,0.0,0.0,0.0,1,Public use,0.0,51.34993120096934,0.1319047305349812,16982.129106819993
88194ad639fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.1807580174927,268,0.0,0.0,0.0,0.0,0,nothing,0.0,51.36124429764416,0.14774328180981677,16980.553796740103
88194ad63dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31320.0,0.0,0.0,0.0,0.0,0.0,0.0,284,0.0,0.0,0.0,0.0,0,nothing,0.0,51.363351737640954,0.13562005046816109,16981.178396724637
88194ad647fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130536.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0.0,0.0,0.0,0.0,0,nothing,0.0,51.3880773638539,0.15518340783272902,16978.652146330267
88194ad661fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149107.76666666666,0.0,0.0,0.0,0.0,0.0,0.0,252,0.0,0.0,0.0,0.0,0,nothing,0.0,51.39229441453729,0.13092552600185198,16979.90005343313
88194ad663fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21756.0,0.0,0.0,4.0,0.0,0.0,0.0,256,0.0,0.0,1.0,0.0,0,nothing,0.0,51.38453247756812,0.13513190567875677,16980.063848630023
88194ad665fffff,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,1752153.5689883367,1727728.214090909,0.0,9.0,19.0,0.0,0.0,0.0,268,0.0,1.0,4.0,0.0,0,nothing,0.0,51.39440133658412,0.11879332532103863,16980.523915931564
88194ad667fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567008.6213757072,808786.6503896104,0.0,0.0,6.0,0.0,0.0,0.0,272,0.0,0.0,1.0,0.0,0,nothing,0.0,51.38663952960633,0.1230019483455105,16980.687895571406
88194ad669fffff,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,0.0,0.0,0.0,0.0,0,nothing,0.0,51.39794809480235,0.13885012292403212,16979.112279926827
